loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2020-03-19 17:50:19.194 +0100,1584636617.999602,52.52496822560055,13.44253993101634,52.13243,3.281847,255.4125801155556,9.96899034915918,14.31922011540678,-9999,36058.08673875,0.2885894775390625,0.43701171875,-1.005157470703125,36058.06664375,-0.1793641605077258,0.7744256233829913,0.09524167865206583,0.6460496783256531,-0.1351402699947357,-0.06940294057130814,0.2454356551170349,0.5261873006820679,0.04262804985046387,XArbitraryZVertical,0.07768248105629104,0.3717174140543705,-0.06493416488499856,0.9228082864967726,0.6961362957954407,-0.09509775787591934,-0.7115831971168518,36048.036366125,cycling,2,2020-03-19 17:50:09.142 +0100,606329417.3095787,0,-6.4,101.8937
2020-03-19 17:50:19.210 +0100,1584636618.999596,52.52498140704723,13.44247859656435,51.78397,3.224285,263.8362862846672,9.976942022880083,14.31368090908794,-9999,36058.10683375,0.3948516845703125,0.411712646484375,-0.91259765625,36058.10683375,-0.2005663279257615,0.7711336679800704,0.12468819538062,1.259913921356201,-0.1484337896108627,0.1241718903183937,-0.376156210899353,0.6237527132034302,-0.2387125492095947,XArbitraryZVertical,0.0950182819281013,0.3676883290261129,-0.06927129197380541,0.922484826851518,0.6915379166603088,-0.1243653520941734,-0.7115536332130432,36048.036366125,cycling,2,2020-03-19 17:50:09.142 +0100,606329417.3095787,0,-6.4,101.8937
2020-03-19 17:50:19.230 +0100,1584636618.999596,52.52498140704723,13.44247859656435,51.78397,3.224285,263.8362862846672,9.976942022880083,14.31368090908794,-9999,36058.12692875,0.7754364013671875,-0.09259033203125,-0.674346923828125,36058.10683375,-0.2005663279257615,0.7711336679800704,0.12468819538062,1.259913921356201,-0.1484337896108627,0.1241718903183937,-0.376156210899353,0.6237527132034302,-0.2387125492095947,XArbitraryZVertical,0.0950182819281013,0.3676883290261129,-0.06927129197380541,0.922484826851518,0.6915379166603088,-0.1243653520941734,-0.7115536332130432,36048.036366125,cycling,2,2020-03-19 17:50:09.142 +0100,606329417.3095787,0,-6.4,101.8937
2020-03-19 17:50:19.250 +0100,1584636618.999596,52.52498140704723,13.44247859656435,51.78397,3.224285,263.8362862846672,9.976942022880083,14.31368090908794,-9999,36058.14702375,0.769744873046875,-0.19317626953125,-0.6777496337890625,36058.12692875,-0.2169187051941134,0.7688640095318066,0.146892032650709,1.177679419517517,-0.2926456928253174,0.2840632200241089,0.001985907554626465,0.1842491626739502,-0.06321853399276733,XArbitraryZVertical,0.1081110560975516,0.3644604566657975,-0.07271735255108859,0.9220590089610348,0.6878312230110168,-0.1463643461465836,-0.7109611630439758,36048.036366125,cycling,2,2020-03-19 17:50:09.142 +0100,606329417.3095787,0,-6.4,101.8937
2020-03-19 17:50:19.270 +0100,1584636618.999596,52.52498140704723,13.44247859656435,51.78397,3.224285,263.8362862846672,9.976942022880083,14.31368090908794,-9999,36058.16711875,0.429931640625,0.13623046875,-1.0068359375,36058.14702375,-0.2180646910437239,0.7581504678010548,0.1565903248480346,-0.4977533519268036,-0.785925030708313,0.2561331689357758,0.1757959127426147,-0.09479942917823792,0.1284087896347046,XArbitraryZVertical,0.1123764201746663,0.3588302170222724,-0.07200901512422601,0.9238111670532951,0.6791669726371765,-0.1559511572122574,-0.7172248363494873,36048.036366125,cycling,2,2020-03-19 17:50:09.142 +0100,606329417.3095787,0,-6.4,101.8937
2020-03-19 17:50:19.290 +0100,1584636618.999596,52.52498140704723,13.44247859656435,51.78397,3.224285,263.8362862846672,9.976942022880083,14.31368090908794,-9999,36058.18721375,0.677276611328125,0.2099761962890625,-1.027236938476562,36058.16711875,-0.2101965430615331,0.741562002696648,0.1508785244722014,-0.1042190417647362,-0.6255484819412231,-0.02112685143947601,-0.21583491563797,0.1906786561012268,-0.2865829467773438,XArbitraryZVertical,0.1077619800563298,0.3519501075707172,-0.07033963463414605,0.9271304133895979,0.6677671670913696,-0.1503067314624786,-0.7290369272232056,36048.036366125,cycling,2,2020-03-19 17:50:09.142 +0100,606329417.3095787,0,-6.4,101.8937
2020-03-19 17:50:19.310 +0100,1584636618.999596,52.52498140704723,13.44247859656435,51.78397,3.224285,263.8362862846672,9.976942022880083,14.31368090908794,-9999,36058.20730875,0.8344268798828125,-0.0920257568359375,-0.5924530029296875,36058.18721375,-0.2155084234245492,0.7311726214461091,0.1526560519390417,0.5036459565162659,-0.5600497722625732,-0.2246182262897491,-0.0694955587387085,0.3967356383800507,-0.2982869148254395,XArbitraryZVertical,0.1091369558853585,0.3467298034231979,-0.07304369998899468,0.9287261287587871,0.6599776148796082,-0.1520638316869736,-0.7357351183891296,36048.036366125,cycling,2,2020-03-19 17:50:09.142 +0100,606329417.3095787,0,-6.4,101.8937
2020-03-19 17:50:19.331 +0100,1584636618.999596,52.52498140704723,13.44247859656435,51.78397,3.224285,263.8362862846672,9.976942022880083,14.31368090908794,-9999,36058.22740375,0.6232452392578125,0.2046966552734375,-0.66351318359375,36058.20730875,-0.2299684449126781,0.725611788672699,0.1604395844933497,0.8308796882629395,-0.155722588300705,-0.3393510282039642,0.1773238778114319,0.08054076135158539,-0.01517117023468018,XArbitraryZVertical,0.1150096973071218,0.3428261917451015,-0.07866602931963367,0.929007364242706,0.6550708413124084,-0.1597521603107452,-0.7384859323501587,36048.036366125,cycling,2,2020-03-19 17:50:09.142 +0100,606329417.3095787,0,-6.4,101.8937
2020-03-19 17:50:19.351 +0100,1584636618.999596,52.52498140704723,13.44247859656435,51.78397,3.224285,263.8362862846672,9.976942022880083,14.31368090908794,-9999,36058.24749875,0.5847625732421875,0.2656097412109375,-0.826995849609375,36058.22740375,-0.2433413179294887,0.7264193084448719,0.1614820270509999,0.4305994510650635,-0.02039584890007973,-0.5561738014221191,0.03693091869354248,0.3081780076026917,0.1347637176513672,XArbitraryZVertical,0.1178139002454753,0.3423506595243643,-0.0846406376625406,0.9283059318614396,0.6555559635162354,-0.160781130194664,-0.7378318309783936,36048.036366125,cycling,2,2020-03-19 17:50:09.142 +0100,606329417.3095787,0,-6.4,101.8937
2020-03-19 17:50:19.371 +0100,1584636618.999596,52.52498140704723,13.44247859656435,51.78397,3.224285,263.8362862846672,9.976942022880083,14.31368090908794,-9999,36058.26759375,0.787017822265625,-0.055450439453125,-0.3889617919921875,36058.24749875,-0.2663768791900585,0.7308420849641607,0.1687625393025604,1.732585430145264,0.107574500143528,-0.5725845098495483,-0.1245846748352051,0.5134336948394775,-0.1422578096389771,XArbitraryZVertical,0.1253036980643282,0.3424644770194809,-0.093735205190662,0.9264074287683467,0.6580139994621277,-0.1679625958204269,-0.7340341210365295,36048.036366125,cycling,2,2020-03-19 17:50:09.142 +0100,606329417.3095787,0,-6.4,101.8937
