loggingTime(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2020-03-01 09:47:42.005 +0100,17737.516669875,0.3625030517578125,0.8258056640625,-0.43756103515625,17737.511645875,-2.053362733475161,0.6912001027886265,-0.9726723021582244,0.02125502936542034,-0.01655987836420536,-0.007904428988695145,0.007489979267120361,0.003901898860931396,-0.005411505699157715,XArbitraryZVertical,-0.02858908579848046,-0.5312778550185828,0.793621805030182,-0.2951119756122534,0.3589507639408112,0.8263934254646301,-0.4338530004024506,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.036 +0100,17737.536764875,0.3570709228515625,0.8182830810546875,-0.4356231689453125,17737.531740875,-2.054110360223426,0.6901747057116429,-0.9725110293106826,0.01244797557592392,-0.02360842190682888,-0.01341620739549398,0.00064811110496521,-0.005345582962036133,-0.00556635856628418,XArbitraryZVertical,-0.02842634932693766,-0.531065094493101,0.7937645951459834,-0.2951266144421166,0.3585905432701111,0.8263025879859924,-0.4343236088752747,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.046 +0100,17737.556860875,0.3502197265625,0.8266448974609375,-0.4338226318359375,17737.551836875,-2.05464654092818,0.6892648944851059,-0.9725316506480683,0.003139750100672245,-0.02137895673513412,-0.01172859501093626,-0.005033880472183228,-0.004533290863037109,-0.0002029538154602051,XArbitraryZVertical,-0.02820183870760321,-0.5309298009493396,0.7938542539911593,-0.2951501318256373,0.3581843078136444,0.8263142108917236,-0.4346364140510559,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.066 +0100,17737.576956875,0.3506317138671875,0.828216552734375,-0.4332733154296875,17737.571932875,-2.05476706153288,0.6888610467514116,-0.972518728114606,0.006859445944428444,-0.009653458371758461,0.004781904630362988,-0.009152829647064209,0.0009826421737670898,0.002376377582550049,XArbitraryZVertical,-0.02807711361303139,-0.5308643719214543,0.7938792135312147,-0.2952128422315021,0.3580156266689301,0.826306939125061,-0.4347893893718719,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.086 +0100,17737.597051875,0.35748291015625,0.8290252685546875,-0.4344940185546875,17737.592028875,-2.054750328642509,0.6887431733781845,-0.9722764225701408,0.01258657313883305,-0.008585827425122261,0.009217864833772182,-0.00773349404335022,0.004292726516723633,0.001306474208831787,XArbitraryZVertical,-0.02809441366433491,-0.5307708188681403,0.7939052793688706,-0.2953091519797248,0.3580915629863739,0.8261704444885254,-0.4349860846996307,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.106 +0100,17737.617147875,0.357635498046875,0.8304443359375,-0.4391632080078125,17737.612123875,-2.055057045975194,0.6883134229489299,-0.9718694302600643,0.03482185304164886,-0.007078729104250669,-0.0006125606596469879,0.0003270804882049561,-0.0004217028617858887,0.001399576663970947,XArbitraryZVertical,-0.02812022702650427,-0.5305746535479012,0.7940018095026862,-0.2953996529039762,0.3581181466579437,0.8259410858154297,-0.43539959192276,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.126 +0100,17737.637243875,0.3534698486328125,0.82855224609375,-0.44573974609375,17737.632219875,-2.056292033514151,0.6871222587950239,-0.9712987423215266,0.04967303201556206,-0.007558527402579784,-0.01707978546619415,-0.002062290906906128,0.006110548973083496,-0.00649183988571167,XArbitraryZVertical,-0.02813590106389921,-0.5302011237899138,0.7942644469774927,-0.2953630102823194,0.3578982949256897,0.8256192207336426,-0.436190277338028,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.146 +0100,17737.657338875,0.356231689453125,0.8168487548828125,-0.4488067626953125,17737.652315875,-2.057861237967814,0.6855522955726088,-0.9708937194636916,0.04028864204883575,-0.02265532128512859,-0.02326740697026253,-0.002717792987823486,-0.003930151462554932,-0.009318649768829346,XArbitraryZVertical,-0.0280424901015951,-0.5298192667731803,0.7945632788790558,-0.2952531060633128,0.3574246466159821,0.8253905773162842,-0.4370103180408478,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.166 +0100,17737.677434875,0.355194091796875,0.818450927734375,-0.44012451171875,17737.672410875,-2.059077277953274,0.6840353246220439,-0.9708153753193866,0.004145266488194466,-0.02871379069983959,-0.0214366503059864,-0.002293586730957031,-0.007288694381713867,-0.007139921188354492,XArbitraryZVertical,-0.02778391139791686,-0.5295535902620124,0.7947726884609274,-0.2951904545134834,0.3568021059036255,0.8253463506698608,-0.4376021027565002,604745260.3653774,0,-9.52,99.10169
2020-03-01 09:47:42.186 +0100,17737.697530875,0.3588409423828125,0.816375732421875,-0.4333038330078125,17737.692506875,-2.059090355368018,0.6834652060002849,-0.971232503418457,-0.03171589225530624,-0.02967162802815437,-0.008497581817209721,0.001332014799118042,-0.01019418239593506,0.001540064811706543,XArbitraryZVertical,-0.02744321643429265,-0.5296013096099628,0.7947358446062986,-0.2952363108454301,0.3563352823257446,0.8255818486213684,-0.4375386536121368,604745260.3653774,0,-9.52,99.10169
